timestamp,tbs_sum
1589650272.8965194,2280
1589650278.4367032,912
1589650278.6472895,576
1589650281.425842,2448
1589650282.0072782,11160
1589650283.6143007,3904
1589650284.1075351,6552
1589650284.815272,14424
1589650285.8843238,11360
1589650288.2798934,888
1589650288.8721156,1456
1589650290.109496,20264
1589650291.162557,16656
1589650294.9125502,1872
1589650296.9471588,6720
1589650300.399052,6000
1589650301.500311,6896
1589650302.3259704,6008
1589650302.911064,20048
1589650304.1739163,101328
1589650304.9904392,138832
1589650305.9638493,20824
1589650306.8202808,9224
1589650308.5167212,22224
1589650309.1302023,59520
1589650310.03709,37608
1589650313.6186094,4008
1589650313.9068248,43040
1589650314.9590683,63968
1589650321.4540904,24056
1589650322.0061064,93440
1589650323.461475,22960
1589650323.9460804,1120
1589650325.598639,1360
1589650327.292096,39416
1589650328.4410288,23784
1589650329.2278666,34688
1589650330.002989,12912
1589650331.0989993,47280
1589650332.2352192,77744
1589650333.0154366,70256
1589650334.2781568,68592
1589650334.960786,92016
1589650335.9831426,42744
1589650337.042779,35120
1589650338.2122016,69120
1589650339.1191373,13088
1589650340.176623,99616
1589650341.144837,65840
1589650342.1014624,46288
1589650343.0907226,24720
1589650344.0459943,60816
1589650345.178358,80248
1589650346.1416235,114856
1589650347.024597,90880
1589650348.239137,101136
1589650349.1700716,73688
1589650349.9570112,49960
1589650351.313802,3824
1589650352.2408698,45848
1589650353.0427086,33688
1589650354.038815,121672
1589650355.1787798,708632
1589650355.9852097,96432
1589650357.3286035,62424
1589650358.2306888,38752
1589650358.9578965,109528
1589650359.953276,55392
1589650361.051258,41352
1589650362.211718,55272
1589650363.1128137,71664
1589650364.035592,18368
1589650365.0797348,109720
1589650366.1013155,88088
1589650367.2375083,117560
1589650368.3121736,94880
1589650369.1367354,132072
1589650369.8977685,4016
1589650376.3348951,195112
1589650377.1256337,48768
1589650378.1520553,40816
1589650379.4699926,78608
1589650380.1952777,86272
1589650381.0876226,94752
1589650382.0523136,56024
1589650384.7752495,17616
1589650386.099146,1928
1589650394.5101402,12688
1589650394.7370102,2256
1589650395.963717,96104
1589650397.3127117,72016
1589650397.7038658,27352
1589650437.993372,4576
1589650472.364071,88816
1589650475.2128055,58560
1589650475.7733147,32072
1589650481.493726,0
1589650483.5097542,5928
1589650484.3770957,144352
1589650484.7257504,62256
1589650529.723703,712
