second,user_unique,timestamp,date
0.0,2,1589650272.9116385,2020-05-16T17:31:12.000000
5.0,4,1589650278.5439296,2020-05-16T17:31:18.000000
6.0,1,1589650278.6472895,2020-05-16T17:31:18.000000
8.0,1,1589650281.425842,2020-05-16T17:31:21.000000
9.0,3,1589650281.9990053,2020-05-16T17:31:21.000000
10.0,2,1589650283.6105785,2020-05-16T17:31:23.000000
11.0,2,1589650284.0972393,2020-05-16T17:31:24.000000
12.0,9,1589650284.905338,2020-05-16T17:31:24.000000
13.0,5,1589650285.9184372,2020-05-16T17:31:25.000000
14.0,3,1589650287.2219727,2020-05-16T17:31:27.000000
15.0,6,1589650288.2350771,2020-05-16T17:31:28.000000
16.0,2,1589650288.8721154,2020-05-16T17:31:28.000000
17.0,8,1589650290.3614616,2020-05-16T17:31:30.000000
18.0,11,1589650291.2168417,2020-05-16T17:31:31.000000
22.0,7,1589650294.923749,2020-05-16T17:31:34.000000
24.0,5,1589650296.9320743,2020-05-16T17:31:36.000000
27.0,4,1589650300.1527827,2020-05-16T17:31:40.000000
28.0,4,1589650301.3920045,2020-05-16T17:31:41.000000
29.0,3,1589650302.20019,2020-05-16T17:31:42.000000
30.0,6,1589650302.9780493,2020-05-16T17:31:42.000000
31.0,10,1589650304.1644738,2020-05-16T17:31:44.000000
32.0,10,1589650304.9405868,2020-05-16T17:31:44.000000
33.0,9,1589650305.994409,2020-05-16T17:31:45.000000
34.0,5,1589650306.7942076,2020-05-16T17:31:46.000000
35.0,12,1589650308.48478,2020-05-16T17:31:48.000000
36.0,14,1589650309.071551,2020-05-16T17:31:49.000000
37.0,8,1589650310.0093265,2020-05-16T17:31:50.000000
40.0,2,1589650313.6151226,2020-05-16T17:31:53.000000
41.0,13,1589650313.9322882,2020-05-16T17:31:53.000000
42.0,12,1589650314.8679118,2020-05-16T17:31:54.000000
43.0,1,1589650315.9318287,2020-05-16T17:31:55.000000
48.0,8,1589650321.4562342,2020-05-16T17:32:01.000000
49.0,15,1589650322.0347579,2020-05-16T17:32:02.000000
50.0,6,1589650323.4419699,2020-05-16T17:32:03.000000
51.0,10,1589650323.9845335,2020-05-16T17:32:03.000000
52.0,3,1589650325.599347,2020-05-16T17:32:05.000000
54.0,10,1589650327.293296,2020-05-16T17:32:07.000000
55.0,12,1589650328.411873,2020-05-16T17:32:08.000000
56.0,13,1589650329.1835494,2020-05-16T17:32:09.000000
57.0,9,1589650330.0040076,2020-05-16T17:32:10.000000
58.0,14,1589650331.0898113,2020-05-16T17:32:11.000000
59.0,21,1589650332.2116299,2020-05-16T17:32:12.000000
60.0,22,1589650333.0908663,2020-05-16T17:32:13.000000
61.0,27,1589650334.3091974,2020-05-16T17:32:14.000000
62.0,24,1589650335.0356407,2020-05-16T17:32:15.000000
63.0,17,1589650336.0429132,2020-05-16T17:32:16.000000
64.0,15,1589650337.1140642,2020-05-16T17:32:17.000000
65.0,18,1589650338.0643969,2020-05-16T17:32:18.000000
66.0,11,1589650339.2049143,2020-05-16T17:32:19.000000
67.0,14,1589650340.1745887,2020-05-16T17:32:20.000000
68.0,14,1589650341.169104,2020-05-16T17:32:21.000000
69.0,22,1589650342.114932,2020-05-16T17:32:22.000000
70.0,24,1589650343.0669386,2020-05-16T17:32:23.000000
71.0,16,1589650344.0409567,2020-05-16T17:32:24.000000
72.0,23,1589650345.0961375,2020-05-16T17:32:25.000000
73.0,27,1589650346.1492329,2020-05-16T17:32:26.000000
74.0,19,1589650347.0462594,2020-05-16T17:32:27.000000
75.0,24,1589650348.3055122,2020-05-16T17:32:28.000000
76.0,21,1589650349.1374738,2020-05-16T17:32:29.000000
77.0,13,1589650350.0360093,2020-05-16T17:32:30.000000
78.0,12,1589650351.123499,2020-05-16T17:32:31.000000
79.0,28,1589650352.232786,2020-05-16T17:32:32.000000
80.0,25,1589650353.0446806,2020-05-16T17:32:33.000000
81.0,21,1589650353.9557688,2020-05-16T17:32:33.000000
82.0,41,1589650355.2067578,2020-05-16T17:32:35.000000
83.0,28,1589650356.0110407,2020-05-16T17:32:36.000000
84.0,21,1589650357.281238,2020-05-16T17:32:37.000000
85.0,19,1589650358.2832696,2020-05-16T17:32:38.000000
86.0,30,1589650359.0166986,2020-05-16T17:32:39.000000
87.0,25,1589650360.0519068,2020-05-16T17:32:40.000000
88.0,20,1589650361.2359216,2020-05-16T17:32:41.000000
89.0,24,1589650362.1421201,2020-05-16T17:32:42.000000
90.0,28,1589650363.176267,2020-05-16T17:32:43.000000
91.0,19,1589650364.005092,2020-05-16T17:32:44.000000
92.0,20,1589650365.1236765,2020-05-16T17:32:45.000000
93.0,23,1589650366.1019132,2020-05-16T17:32:46.000000
94.0,34,1589650367.2368147,2020-05-16T17:32:47.000000
95.0,26,1589650368.390872,2020-05-16T17:32:48.000000
96.0,38,1589650369.1183221,2020-05-16T17:32:49.000000
97.0,9,1589650369.9357648,2020-05-16T17:32:49.000000
103.0,19,1589650376.3934717,2020-05-16T17:32:56.000000
104.0,13,1589650377.1645312,2020-05-16T17:32:57.000000
105.0,20,1589650378.1240404,2020-05-16T17:32:58.000000
106.0,22,1589650379.4516728,2020-05-16T17:32:59.000000
107.0,21,1589650380.2319837,2020-05-16T17:33:00.000000
108.0,23,1589650381.0991704,2020-05-16T17:33:01.000000
109.0,24,1589650382.0614884,2020-05-16T17:33:02.000000
110.0,3,1589650382.7392223,2020-05-16T17:33:02.000000
112.0,16,1589650384.779115,2020-05-16T17:33:04.000000
